Question,Answer,Anchor,Distractor 1,Distractor 2,Distractor 3,Type,Day,Authored by,Verified By,Issue,Column 1
What brand is the dishwasher?,Hotpoint,Werner Day 2 8:24:36,Bosch,Siemens,Whirlpool,what,,Luca,Graham,,
What brand is the fridge in the kitchen?,Samsung,Kitchen Day 1 12:16,Whirlpool,Bosch,Liebherr,what,1,Luca,Graham,,
What brand of tea was available?,Barry's,Kitchen Day 1,Lyons,Bewley's,Punjana,what,1,Luca,Graham,"slightly reworded question, used-> available",
What challenge type did Stevan advocate for during the workshop on the third day?,Conversational Search,Day 3 17:50,Visual Search,Continuous Querying,Unstructured Exploration,what,3,Luca,Werner,,
"What cheese did Cathal say ""is a great cheese""?",Kavanagh's Port Salut Cheese,Day 3 Klaus 14:43:19,SuperValu Emmental Cheese,Kavanagh's Carrigaline Plain Cheese,Applewood Cheese,what,3,Graham,Luca,,
What chore was Cathal doing on the morning of the second day?,washing towels,Day 2 10:20,frying eggs,shining shoes,sweeping floors,what,2,Luca,Graham,,
What color are Florian's slippers?,Blue,Day 3 10:39:39,Purple,Black,Grey,what color,3,Graham,Klaus,,
What color are the flowers in the middle painting of the three on the wall behind the couch?,Blue,,Yellow,White,Pink,what,,Luca,Werner,changed middle one of the three to remove any doubt which wall behind the call is meant,
What color is Allie's bracelet?,White,,Red,Gold,Black,what color,,Luca,Allie,"Werner: from Day1/Cathal/08:21:25 I would not say it's blue - maybe we can rephrase it like ""what color is used in this bracelet"" and having white as an option?
Allie: I changed to White because it's predominantly white than blue",
What color is the housing of the thermal camera?,Red,Day 2 18:36:27,Green,Blue,Yellow,what,2,Luca,Graham,,
What color is the origami crane that Bao made?,Green,Day 3 11:35,Blue,Red,White,,3,Allie,Luca,,
What color was the handle of the knife Klaus used to prepare the shallots?,Yellow,Day 4 08:39:51,red,green,blue,what color,4,Graham,Klaus,,
What colour was the rim of Werner's plate during breakfast on the first day?,Yellow,"Day 1, 9:00 - ...",Green,Gray,White,what,1,Luca,Graham,,
What conference were many of the participants involved in organising in the upcoming October?,ACM MM,Day 1 20:10:40,CIKM,ECIR,IEEE ICME,what,1,Allie,Luca,,
What country did Allie tell Bao also has curry with sausages?,Germany,Day 3 Allie 14:03,Thailand,Czechia,Ireland,what,3,Luca,Allie,,
What design pattern is on the teapot?,Flowers,Luca Day 2 10:37:13,Goats,Vegetables,Cats,what,2,Graham,Klaus,,
"What did Bjorn shout out to see in the distance when he was on the patio with Klaus, Stevan, and Werner?",Sheep,Day 1 11:37 Bjorn,Water,Cathal,Boat,what,1,Klaus,Luca,,
What did Bjorn suggest that 'Father Christmas said when he was speed dating'?,Ho Ho Ho!,Day 4 12:36,Merry Christmas!,Jesus!,Holy Mother!,what,4,Klaus,Luca,,
What did Cathal put on the Christmas Cake?,Bailey's Cream,12:24:40 day 4 Allie,Salted Caramel,Whipped Cream,Double Cream,what,4,Allie,Luca,,
What did Cathal tell Stevan his heart rate was when he was making coffee?,87,Day 1 14:47,112,78,92,what,1,Allie,Luca,,
What did Florian have for breakfast on the second day?,Cornflakes,Day 2 10:30,Toast with butter,Cheese Croissant,Apple Juice,what,2,Luca,Graham,"The tea does not have sugar, which is misleading, but it's the first thing he consumed.",
What did Klaus bring back inside before leaving for the beach?,Glass bottles,"Werner, Day 3, 12:24",Torch light,Trash container,Car key,what,3,Werner,Klaus,,
What did Klaus drop when moving the candlestick holder?,Salt shaker,Day 3 17:45,Candle,Matchbox,Wineglass,what,3,Luca,Klaus,,
What did Luca find in the IKEA box for Allie?,Color pens,day 2 12:36,A peeler,Christmas baubles,A board game,what,2,Allie,Klaus,"Klaus: okay but ""Color Pens"" would be a better answer!",
What does Cathal like to do to relax while watching TV?,Making butter,Day 3 09:38,Knitting socks,Folding paper boats,Solving sudokus,what,3,Luca,Werner,,
What does the sign above the doorbell say?,please ring,Day 3 Allie 13:23,visitors welcome,guest house,bell,what,,Luca,Werner,,
What family name is on the coat of arms in the reading area?,Keogh,Day 1 17:30:50,Healy,O'Neill,Salmon,what,1,Graham,Klaus,,
What finger does Cathal wear his smart ring on?,Pinky,Day 3 11:55 Florian,Ring finger,Middle finger,Index finger,where,,Luca,Werner,,
What fish was used for the breakfast spread?,Salmon,Day 4 08:30,Traut,Mackerel,Tuna,what,4,Luca,Werner,,
What fruit flavour does the shampoo that Cathal bought have?,Banana,Day 2 19:17:50,Pineapple,Strawberry,Watermelon,what,2,Allie,Klaus,,
What fruit was sitting on the kitchen island the longest?,Pineapple,,Banana,Apple,Pear,what,,Luca,Werner,,
What game did Bjorn suggest to play with the cameras?,Chicken,Day 1 20:16:00 Bjorn,Hide and Seek,Freeze Tag,"Red Light, Green Light",what,1,Omar,Luca,,
What is on the back of Werner's t-shirt on the first day?,KBTG,Kitchen Day 1 14:44:46,ABTG,KATG,RBTG,what,1,Allie,Luca,,
What is on the floor near Luca when he plays Mikado with Stevan?,Paper plane,"Werner, Day 3, 12:17",Toy block,Cushion,Magazine,what,3,Werner,Klaus,,
What is on top of the fridge in the kitchen?,A metal tray,Stevan Day 1 14:45:38,A power socket,A set of bowls,Recipe books,what,,Allie,Luca,,
What is the brand of the microwave oven?,Nordmende,Day 3 Allie 13:51,Bosch,Samsung,Hoover,what,,Luca,Werner,,
What is the brand of the oat milk Allie drank for breakfast on day 4?,Califia,08:11:40 day 4 Allie,Flahavan's,Oatly,Alpro,what,4,Allie,Luca,,
What is the capacity of the external batteries powering the wearable cameras?,20000mAh,Day 1 10:28,10000mAh,5000mAh,30000mAh,what,1,Luca,Graham,"Luca says 20Ah, not 20000mAh. I've changed all to Ah.",
What is the dominant color of the big bag of rice?,White,Day 2 18:00,Yellow,Orange,Blue,what,2,Luca,Graham,I'm not catching the brand indicated anywhere (except the logo),
What is the name of the person Cathal mentions as an example for an on-site manager?,Alice,Day 3 18:35,Jennifer,Alan,Allie,who,3,Luca,Werner,"Changed slightly, as Cathal says actually ""Alice-equivalent"" (original was ""What is the name of the person Cathal wanted to have on-site as a manager?"")",
"What item did Bao give to Stevan, which was then passed to Luca in the kitchen?",A travel plug,Day 1 14:44:43,A ball,A camera,A meal list,what,1,Allie,Luca,,
What item did Bao pick up from the fireplace mantel to examine for a few seconds on more than one occasion?,Card game,Living 2 - Day2 17:30:22 & Day 1 11:16:41 -> Klaus Day 3 11:25:06,Cellphone,Book,ornament,TV remote,2,Graham,Luca,,
"What item was dropped when Cathal, Klaus, and others drove to the sea on a windy day?",Hat,Day 3 13:06,car keys,map,phone,what,3,Cathal,Luca,,
What item was Tien looking for when Allie and Florian just started playing chess?,Glue,Day 2 10:28,Tape,Scissors,Pencil,what,4,Allie,Luca,,
What logo is on the front of Stevan's paper notebook?,UvA,Day 4 12:07,ACM,Google,DCU,what,4,Luca,Klaus,,
What medium did Allie use for her painting of a Christmas tree and a vase of flowers?,Water Colors,Allie Day 1 11:45,Oil Paint,Acrylic Paint,Colored Pencils,what,1,Luca,Graham,colors -> medium (as colors implies specific colors),
What number is on the door of Cathal's room?,3,Day 3 09:45,5,7,9,what,3,Luca,Werner,,
What organisation's logo is on Werner's apron?,W3C,Kitchen Day 1 12:16,ACM,IEEE,Wikimedia,what,1,Luca,Graham,,
"What origami were Cathal, Florian, and Onanong folding together on the afternoon of the second day?",Lotus,Day 2 17:00...,Crane,Frog,Butterfly,what,2,Luca,Allie,,
What page did Florian bookmark before starting the reading task?,22,Day 2 15:42:10 Florian,20,21,19,what,2,Omar,Luca,,
What possible challenge task did Klaus suggest during the workshop on the second day?,Collaborative annotation for food labeling,Day 2 10:55:10,Vision-based exercise coaching,Few-shot object re-identification,Long-form conversation summarization,what,2,Luca,Graham,,
What pun did Florian make in response to Allie’s comment about 'lukewarm' tea?,door warm,10:44:35 day 4 Allie,lock warm,window cold,door cold,what,4,Allie,Luca,,
What skill was Florian teaching to Onanong in the late afternoon on the second day?,Hand flute,Onanong Day 2 17:15,Sign language,Shadow puppets,Kazoo,what,2,Luca,Graham,,
What song title did Bao use to describe Cathal's driving style?,Highway to Hell,Day 4 12:43,Stairway to Heaven,Boulevard of Broken Dreams,The Long and Winding Road,what,4,Luca,Klaus,,
What song was Cathal teaching Florian on the guitar?,Come as you are,Day 3 11:53,Hallelujah,Linger,stairway to heaven,what,3,Luca,Allie,,
What spice or herb does Luca not like?,Coriander,Day 2 18:25,Chilli,Pepper,Basil,what,2,Luca,Allie,,
What store was the blue dishwashing liquid bought from?,Supervalu,Luca Day 2 8:33,Dunnes,Lidl,Aldi,what,,Luca,Graham,store -> brand,
What task did Luca want Bjorn and Werner to do for him when he was baking on day 2 morning?,Licking the hand mixer,Day 2 10:16,Cleaning the pot,Heating the oven,Buying more milk,what,2,Allie,Luca,,
What time did Allie and Linh plan to leave on Saturday at first?,5 am,Day 1 14:35,10 am,7 am,5 pm,what time,1,Allie,Luca,,
What time did the workshop begin on day 2?,10:42 AM,Day 2,10:28 AM,,,,4,Allie,Klaus,,
What tool was Bao using to take sausages out of the oven?,scissors,Day 3 Allie 14.23,tongs,fork,spoon,what,3,Luca,Klaus,,
What university is on Stevan's T-Shirt on day 4?,Klagenfurt,10:19:30 day 4 Allie,DCU,Bergen,Reykjavik,what,4,Allie,Luca,,
What was Bjorn doing while Klaus was playing Starcraft II?,Drawing,Day 3 10:40,Cooking,Eating,Reading,what,3,Luca,Werner,,
What was Florian using the pot to smash?,Peanuts,Kitchen Day 1 17:35,Cashews,Pork chops,Chicken fillet,what,1,Allie,Luca,,
What was for lunch on the first day?,Risotto,Day 1 14:00,Lasagna,Curry,Glazed Ham,what,1,Luca,Graham,,
What was not an ingredient in the glaze for the ham?,Mustard,Day 3 17:08,Honey,Soy sauce,Chilli flakes,what,3,Luca,Werner,,
What was not part of breakfast on the first day?,Fried Eggs,"Day 1, 8:15 - 9:30",Sausages,Bacon,Mushrooms,"what, negated",1,Luca,Graham,,
What was the brand of model airplane that was sitting on the table while people were building a tower with the wooden blocks?,Airfix,Day 1 19:22,Revell,Tamina,SuperFly,what,1,Cathal,Luca,,
What was the brand of the guitar?,Ibanez,Day 3 11:55 Florian,Fender,Gibson,Yamaha,what,,Allie,Luca,,
What was the color of the tag on the house key that Stevan and Luca had with them on their walk on the third day?,white,Day 3 Stevan 13:08,red,blue,green,what color,3,Luca,Werner,,
What was the first category in the happy quiz?,Sport,Day 1 14:53:25,Electronics,World Capitals,K-Pop,what,1,Luca,Graham,,
What was the last song sung by more than one person?,Twelve Days of Christmas,Day 4 Living2 18:26:32,Jingle Bells,Silent Night,Frosty the Snowman,what,4,Graham,Luca,,
What was the maximum number of pineapples on the kitchen island?,2,Day 1 Kitchen,1,0,4,,,Allie,Luca,,
What was the most common cookie shape across all types of cookies that were made?,Star,Day 2 17:00...,Tree,Heart,Bird,what,2,Luca,Graham,,
What was the registration plate number of the silver Volvo SUV car?,232-D-20536,Day 3 13:06,212-G-3247,232-D-12691,241-D-30626,what,3,Cathal,Luca,,
What was the time on the microwave when Allie stopped heating the whiskey for the Christmas Cake?,0:18,Day 4 12:26 Allie,04:29,2:51,0:31,what,4,Allie,Luca,,
What was used as a dealer token during poker?,Octopus,Day 4 10:07,Candy bar,Salt shaker,Wineglass,what,4,Luca,Allie,,
When did Cathal want rösti?,Thursday,Day 1 14:30,Wednesday,Tuesday,Friday,when,1,Allie,Luca,,
"When unloading the dishwasher on the third day, which item was taken out after the teapot?",Grater,"Werner, Tien Day 3, 08:21",Knife,Plate,Cup,what,3,Werner,Luca,reworded slightly,OK
When was the first one of the two pineapples cut?,Day 1 8 pm,Florian day 1 20:15,Day 1 6 pm,Day 1 7 pm,Day 2 8 am,what time,1,Werner,Luca,,
Where is the yellow octopus when Linh is playing chess with Allie?,Next to his elbow,09:28:25 day 4 Allie,On his head,In his back pocket,On the chair behind him,where,4,Allie,Luca,reworded slightly,
Where was the dartboard set up?,Above the glass door in the living room,,On the back wall of the reading room,To the left of the main door,On the door of the fridge,where,,Allie,Luca,catch: on vs above,
Where was the little blue whale plushie hiding on the second day?,In the kitchen with the eggcups,Luca Day 2 8:37,In the reading room next to the computer,In the entryway with the clock,"On the living room table, in the flowers",where,2,Luca,Graham,,
Where was the orange juice concentrate stored after breakfast?,"Fridge, 2nd row from top",Werner Day2 11:52,Fridge door,"Fridge, top row","Fridge, 3rd row from top",where,2,Werner,Luca,,
Which cutting board is used by Allie for carrots?,Wooden,"Allie, Luca, Day 2, 12:49",Red,White,White with print,what,2,Werner,Klaus,,
"Which food was eaten during lunch on day 3, because there was a lot of it still there?",Cheese,"Day 3, 14:36",Toast,Eggs,Tomatoes,what,3,Werner,Luca,,
Which food was on the table when lasagna was being served?,Zimtstern cookies,"Day 4, 11:55",Toast,Croissants,Salad,what,4,Werner,Klaus,,
Which fruits are in the jam glass with the red lid in the kitchen cabinet?,Mango and Peach,"Werner, Day 4, 9:32:40",Orange and Mandarins,Berries and Cherries,Strawberry,what,,Werner,Klaus,,
Which Happy Quiz topic did no one but Klaus get any points at all on day 2?,Lifelogging Researcher,day 2 18:46,Kpop,Cambodia,The Bible,which,2,Allie,Luca,,
Which herb was Werner looking for in the fridge for Bjorn?,Coriander,Werner Day 2 18:17:30,Parsley,Basil,Mint,what,2,Werner,Luca,,
Which item did Bjorn hold in his hand when explaining the Vietnamese card game?,Fidget Spinner,Werner Day2 12:17,Buzzer,Coaster,Spoon,what,2,Werner,Klaus,,
Which movie was not watched?,Sintel,Day 3 19:10...,Tears of Steel,Elephant's Dream,Duck and cover,what,3,Luca,Werner,,
Which nearby ingredient was not used when Onanong made pastries?,Soy sauce,Day 3 16:40,Wine,Vinegar,Banana,what,3,Werner,Luca,reworded slightly,OK
Which object was on top of the stack of books when Steven selected a book?,Fidget Spinner,Day 4 Stevan 15:15:06,Telephone,Candle,Pencil,what,4,Graham,Luca,,
Which operating system was planned to be installed on the spare laptop?,Ubuntu,Stevan Day 1 11:05:48,Fedora,Windows,MacOS,what,1,Luca,Graham,,
Who ate the last vanilla lemon cookie?,Bjorn,Day 4 10:47:48,Werner,Florian,Linh,who,4,Graham,Luca,,
Who brought a non-working camera to Luca to fix on the first day?,Tien,Day 1 15:35,Florian,Onanong,Werner,who,1,Cathal,Luca,,
Who brought the coffee pot to the table for breakfast on the first day?,Werner,"Day 1, 9:03:31",Klaus,Allie,Stevan,Who,1,Luca,Graham,changed to 'who brought',
Who collapsed the first block tower after the trip to the beach?,Luca,Day 3 13:26,Stevan,Bjorn,Florian,who,3,Luca,Werner,,
Who dealt first in the first game of poker?,Florian,Day 1 12:13,Onanong,Cathal,Linh,who,1,Luca,Graham,"reworded, as they switched who dealt cards",
Who did not have fried eggs for breakfast on the fourth day?,Bao,Day 4 08:20,Allie,Bjorn,Werner,who,4,Luca,Werner,,
Who drew the picture that was displayed on the small door of the kitchen fridge on the third day?,Florian,Day 3 Florian 13:24,Allie,Cathal,Onanong,who,3,Luca,Werner,,
Who gave the first presentation for the workshop on the first day?,Cathal,"Day 1, 10:05",Klaus,Luca,Bjorn,who,1,Luca,Graham,introductory -> first,
Who got the center piece of lasagna?,Linh,Day 4 11:57,Luca,Allie,Florian,who,4,Luca,Allie,"Werner: I think it's Linh, not Florian. Allie takes it, says she's gonna give it to Luca, and puts it at 11:56:51 next to the blue mug",
Who had a bandage on their finger?,Klaus,Day 4 12:07:33,Allie,Luca,Bao,who,,Graham,Klaus,,
Who had not initially selected steak for the pub dinner?,Bjorn,"Werner, Stevan, Day 3, 10:17",Werner,Stevan,Allie,"who, negated",3,Werner,Klaus,,
Who had the first slice of Christmas cake?,Allie,Day 4 12:40,Stevan,Cathal,Werner,who,4,Luca,Klaus,,
Who helped Allie find the big pot (that Luca used for the rice the day before)?,Werner,day 2 12:38,Bao,Luca,Linh,what,2,Allie,Luca,,
Who helped Luca with the eggs in the kitchen while Onanong was playing guitar?,Stevan,Day 1 11:54,Allie,Cathal,Tien,who,1,Allie,Luca,,
Who helped Werner stock the dishwasher on the afternoon of the last day?,Bjorn,Day 4 14:36:45,Allie,Cathal,Stevan,who,4,Graham,Luca,Klaus: not sure if this is the only event where Werner was stocking up the dishwasher,
Who hid the toy orca on Ononong's person?,Luca,Day 4 Florian 15:29:26,Florian,Stevan,Bjorn,who,4,Graham,Klaus,,
Who made the best guess about how long an average person sleeps in their lifetime?,Stevan,"Day 4, 12:34",Bjorn,Allie,Cathal,who,4,Werner,Klaus,,
Who made the joke about “avoiding content ID matches” during the Happy Quiz on the first day?,Florian,Day 1 15:19,Cathal,Allie,Bjorn,who,1,Cathal,Luca,,
Who put an orca plushie in Florian's hoodie?,Luca,Luca Day 4 18:20:30,Cathal,Onanong,Allie,who,4,Omar,Luca,,
Who put the Christmas tree in the box?,Klaus,Day 4 Living2 18:17:33,Onanong,Linh,Florian,who,4,Graham,Klaus,"Klaus: I swapped Distractor 1 (from Cathal to Onanong), since Cathal was helping.",
Who put the roof on the gingerbread house?,Tien,Day 3 16:20,Cathal,Werner,Florian,who,3,Luca,Werner,,
Who redistributed the contents of the garbage bins in the kitchen with their hands because they were too full?,Klaus,Day 4 Kalus 18:21:41,Cathal,Florian,Onanong,who,4,Graham,Luca,reworded slightly,
Who set the Christmas pudding on fire?,Florian,Day 4 12:28,Cathal,Luca,Stevan,who,4,Luca,Klaus,,
Who suggested turning the camera on during the potential power outage?,Stevan,12:21:30 day 4 Allie,Allie,Cathal,Florian,who,4,Allie,Luca,,
Who was asked by Bjorn to chop the ginger finely?,Tien,Stevan/Tien/Bjorn Day 2 17:18,Stevan,Luca,Werner,who,2,Werner,Klaus,,
Who was controlling the laptop during the joint movie evening?,Allie,Day 3 19:34,Cathal,Klaus,Werner,who,3,Cathal,Luca,reworded slightly,
Who was driving Cathal's car on the morning of the first day?,Allie,"Day 1, 09:30",Bao,Florian,Stevan,who,1,Luca,Graham,"Tien also drove it afterwards, but I think it's fine as his name is not an option",
Who was not among the first round of people sitting down for breakfast on day 4?,Klaus,"Allie, Luca, Bjorn, Werner Day 4, 8:25",Allie,Luca,Bjorn,who,4,Werner,Klaus,,
Who was not in the car with Cathal on Day 3?,Luca,Day 3 13:23:28,Klaus,Bao,Allie,"who, neg",3,Graham,Luca,,
Who was peeling the potatoes for lunch on the third day?,Linh,Day 3 Kitchen 13:03,Bao,Allie,Onanong,who,3,Luca,Werner,,
Who was sitting next to Allie in the car during the drive to the beach,Bao,Day 3 12:28,Klaus,Bjorn,Linh,who,3,Luca,Werner,,
Who was the first person to make coffee on the second day?,Werner,Luca Day 2 9:05,Luca,Stevan,Klaus,who,2,Luca,Graham,,
Who was the first person to unfold the green poker mat?,Onanong,Day 1 12:09,Cathal,Stevan,Allie,who,1,Luca,Allie,Allie: change use -> unfold,
Who was the first person to use the thermal camera after Luca brought it?,Werner,Day 2 12:00,Florian,Klaus,Onanong,who,2,Luca,Werner,,
Who was the last one to add the choice for the dinner dish?,Werner,"Werner, Stevan, Day 3, 10:17",Bjorn,Onanong,Allie,who,3,Werner,Klaus,Klaus: I changed the question a little bit. Original version: Who was the last one to be added to the list for selecting the dish for the dish dinner?,OK
Who was the last person to play the guitar on Day 2?,Allie,Day 2 19:20,Cathal,Onanong,Stevan,who,2,Graham,Luca,"the answer was wrong, so I changed it. (Graham) Agreed.",
Who was the second person to present slides at the workshop opening on the first day?,Klaus,Day 1 10:11,Cathal,Luca,Werner,who,1,Luca,Graham,,
Who was throwing tomatoes into a frying pan,Cathal,Day 3 8:34,Allie,Luca,Werner,who,3,Cathal,Luca,,
Who was wearing a blue top with white horizontal stripes?,Tien,Day 3 08:45,Allie,Onanong,Stevan,who,3,Luca,Werner,,
Who was wearing a yellow dishcloth over their shoulder when taking out the trash?,Bjorn,Day 4 18:20:35 Bao,Stevan,Allie,Klaus,who,4,Omar,Allie,"@Omar: are you sure this is unique? Reply: Found one other case of Bjorn wearing the red-white dishcloth over shoulder as well, so I will specify it to be the yellow one.
Allie: I made it more specific by saying when taking out the trash too",
Who won the first game of chess played on the second day?,Allie,Day 2 15:07,Florian,Werner,Klaus,who,2,Luca,Graham,reworded,
Who won the first pull of a Christmas popper?,Florian,Day 4 12:31:45,Allie,Werner,Klaus,who,4,Klaus,Luca,reworded,
Who won the first round of UNO?,Klaus,Klaus Day 1 17:21:18,Allie,Bjorn,Tien,who,1,Luca,Graham,did Allie not win at 17:22:27?,
Whose laptop did Florian use for preparing Happy Quiz?,Cathal,12:48:05 day 4 Allie,Luca,Linh,Florian,whose,4,Allie,Luca,,
